library,description
Button_Switch_Keyboard,Buttons and switches for keyboard applications
Button_Switch_SMD,"Buttons and switches, surface mount"
Button_Switch_THT,"Buttons and switches, through hole"
Buzzer_Beeper,Audio signalling devices
Capacitor_SMD,"Capacitor, surface mount"
Capacitor_Tantalum_SMD,"Tantalum Capacitor, surface mount"
Conn_Card,Card and card holder footprints
Capacitor_THT,"Capacitor, through hole"
Conn_Dsub,Footprints for DSub footprints
Conn_IDC,IDC connector footprints
Conn_JST,JST connector footprints www.jst.com
Conn_Molex,Molex connector foottprints www.molex.com
Conn_PinHeader_1.00mm,"Pin headers, 1.0mm pitch"
Conn_PinHeader_1.27mm,"Pin headers, 1.27mm pitch"
Conn_PinHeader_2.00mm,"Pin headers, 2.0mm pitch"
Conn_PinHeader_2.54mm,"Pin headers, 2.54mm pitch"
Conn_PinSocket_1.27mm,"Pin sockets, 1.27mm pitch"
Conn_PinSocket_2.00mm,"Pin sockets, 2.0mm pitch"
Conn_PinSocket_2.54mm,"Pin sockets, 2.54mm pitch"
Conn_Phoenix_MC,Phoenix MC connector footprints
Conn_Phoenix_MSTB,Phoenix MSTB connector footprints
Conn_USB,USB connector footprints
Crystal,Crystal footprints
Diode_SMD,"Diode footprints, surface mount"
Diode_THT,"Diode footprints, through hole"
Display_7Segment,Seven segment Display
Display,Display modules
Fiducial,Fiducial markings
Inductor_SMD,"Inductor footprints, surface mount"
Inductor_THT,"Inductor footprints, through hole"
LED_SMD,Light emitting diodes (LED
LED_THT,Light emitting diodes (LED
MountingHole,Mechanical fasteners
Package_BGA,Ball Grid Array (BGA
Package_CSP,Chip Scale Packages (CSP
Package_DFN_QFN,"Surface mount IC packages, DFN / LGA / QFN"
Package_DIP,"Through hole IC packages, DIP"
Package_DirectFET,DirectFET packages from International Rectifier
Package_LCC,Leaded Chip Carriers (LCC
Package_LGA,Land Grid Array (LGA
Package_QFP,Quad Flat Package (QFP
Package_SIP,Single Inline Package(SIP
Package_SOIC,Small Outline Integrated Circuits (SOIC
Package_SON,Small Outline No-Lead (SON
Package_SSOP,"SSOP, TSSOP, MSOP, QSOP, VSO packages"
Package_TO_SOT_SMD,Surface mount transistor packages
Package_TO_SOT_THT,Through hole transistor packages
Relay_SMD,Surface mount relay packages
Relay_THT,Through hole relay packages
Resistor_SMD,"Resistor footprints, surface mount (SMD"
Resistor_THT,"Resistor footprints, through hole (THT"
RF_Antenna,Radio-frequency / wireless antenna footprints
RF_Module,Radio-frequency / wireless modules
RF_Shielding,Specialied footprints for EMI shields and covers
Sensor_Current,Specialied footprints for hall effect current sensors
Symbol,PCB symbols
TerminalBlock_4Ucon,4UCON terminal blocks
TerminalBlock_MetzConnect,Metz Connect terminal blocks
TerminalBlock_Philmore,Philmore terminal blocks
TerminalBlock_Phoenix,RND terminal blocks
TerminalBlock_RND,Phoenix Contact terminal blocks
TerminalBlock_WAGO,WAGO terminal blocks
TestPoint,"Test points, measurement points, probe connection points"
Transformer_SMD,Surface mount transformers
Transformer_THT,Through hole transformers
Valve,Valve
Varistor,Varistor
